"metabolite_name","msi_feature","lcm_feature","evidence"
"Acetylalanine","metabolite_acetylalanine","metabolite_acetylalanine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Acetylaspartic Acid","metabolite_acetylaspartic_acid","metabolite_acetylaspartic_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Acetylglucosamine","metabolite_acetylglucosamine","metabolite_acetylglucosamine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Acetylhistidine","metabolite_acetylhistidine","metabolite_acetylhistidine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Acetylleucine","metabolite_acetylleucine","metabolite_acetylleucine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Acetylneuraminic Acid","metabolite_acetylneuraminic_acid","metabolite_acetylneuraminic_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Acetylproline","metabolite_acetylproline","metabolite_acetylproline","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Acetylvaline","metabolite_acetylvaline","metabolite_acetylvaline","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Aconitic Acid","metabolite_aconitic_acid","metabolite_aconitic_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Alanine","metabolite_alanine","metabolite_alanine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Allantoin","metabolite_allantoin","metabolite_allantoin","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Aminomuconic Acid","metabolite_aminomuconic_acid","metabolite_aminomuconic_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Anserine","metabolite_anserine","metabolite_anserine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Ascorbic Acid","metabolite_ascorbic_acid","metabolite_ascorbic_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Asparagine","metabolite_asparagine","metabolite_asparagine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Aspartate","metabolite_aspartate","metabolite_aspartate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Aspartyllysine","metabolite_aspartyllysine","metabolite_aspartyllysine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Creatine","metabolite_creatine","metabolite_creatine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Cystine","metabolite_cystine","metabolite_cystine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Cytidine","metabolite_cytidine","metabolite_cytidine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Deoxyinosine","metabolite_deoxyinosine","metabolite_deoxyinosine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Diacetyl","metabolite_diacetyl","metabolite_diacetyl","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Fumarate","metabolite_fumarate","metabolite_fumarate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Gamma-Aminobutyrate","metabolite_gamma_aminobutyrate","metabolite_gamma_aminobutyrate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Gluconic Acid","metabolite_gluconic_acid","metabolite_gluconic_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Glucose","metabolite_glucose","metabolite_glucose","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Glucuronic Acid","metabolite_glucuronic_acid","metabolite_glucuronic_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Glu-Glu","metabolite_glu_glu","metabolite_glu_glu","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Glutamate","metabolite_glutamate","metabolite_glutamate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Glutamine","metabolite_glutamine","metabolite_glutamine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Glycerol-Phosphate","metabolite_glycerol_phosphate","metabolite_glycerol_phosphate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Glycerylphosphorylethanolamine","metabolite_glycerylphosphorylethanolamine","metabolite_glycerylphosphorylethanolamine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Glycholic Acid","metabolite_glycholic_acid","metabolite_glycholic_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Hexose MonoPhosphate","metabolite_hexose_monophosphate","metabolite_hexose_monophosphate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Hippuric Acid","metabolite_hippuric_acid","metabolite_hippuric_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Hydroxymethylglutaric Acid","metabolite_hydroxymethylglutaric_acid","metabolite_hydroxymethylglutaric_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Hypoxanthine","metabolite_hypoxanthine","metabolite_hypoxanthine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"IMP","metabolite_imp","metabolite_imp","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Inosine","metabolite_inosine","metabolite_inosine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Itaconate","metabolite_itaconate","metabolite_itaconate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Kynurenate","metabolite_kynurenate","metabolite_kynurenate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Malate","metabolite_malate","metabolite_malate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Malonate","metabolite_malonate","metabolite_malonate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Mannitol","metabolite_mannitol","metabolite_mannitol","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Methylhippuric Acid","metabolite_methylhippuric_acid","metabolite_methylhippuric_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Oxalate","metabolite_oxalate","metabolite_oxalate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Pantothenic Acid","metabolite_pantothenic_acid","metabolite_pantothenic_acid","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Propanoyl Phosphate","metabolite_propanoyl_phosphate","metabolite_propanoyl_phosphate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Pyroglutamate","metabolite_pyroglutamate","metabolite_pyroglutamate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Serine","metabolite_serine","metabolite_serine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Succinyl-Homoserine","metabolite_succinyl_homoserine","metabolite_succinyl_homoserine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Sucrose","metabolite_sucrose","metabolite_sucrose","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Taurine","metabolite_taurine","metabolite_taurine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"UMP","metabolite_ump","metabolite_ump","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Uridine","metabolite_uridine","metabolite_uridine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Urocanate","metabolite_urocanate","metabolite_urocanate","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
"Xanthine","metabolite_xanthine","metabolite_xanthine","Kasarla 2025 Table S12; region means across reported technical/ROI replicates"
