"msi_feature","lcm_feature","n_pairs","n_subjects","correlation","p_value","analysis_scale","adj_p_value","method","lcm_area_normalized","lcm_internal_standard_normalized"
"metabolite_acetylalanine","metabolite_acetylalanine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_acetylaspartic_acid","metabolite_acetylaspartic_acid",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_acetylglucosamine","metabolite_acetylglucosamine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_acetylhistidine","metabolite_acetylhistidine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_acetylleucine","metabolite_acetylleucine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_acetylneuraminic_acid","metabolite_acetylneuraminic_acid",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_aconitic_acid","metabolite_aconitic_acid",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_alanine","metabolite_alanine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_allantoin","metabolite_allantoin",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_aminomuconic_acid","metabolite_aminomuconic_acid",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_anserine","metabolite_anserine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_aspartate","metabolite_aspartate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_aspartyllysine","metabolite_aspartyllysine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_cystine","metabolite_cystine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_cytidine","metabolite_cytidine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_deoxyinosine","metabolite_deoxyinosine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_diacetyl","metabolite_diacetyl",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_fumarate","metabolite_fumarate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_gamma_aminobutyrate","metabolite_gamma_aminobutyrate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_gluconic_acid","metabolite_gluconic_acid",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_glucose","metabolite_glucose",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_glucuronic_acid","metabolite_glucuronic_acid",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_glu_glu","metabolite_glu_glu",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_glutamate","metabolite_glutamate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_glutamine","metabolite_glutamine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_glycerol_phosphate","metabolite_glycerol_phosphate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_hexose_monophosphate","metabolite_hexose_monophosphate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_itaconate","metabolite_itaconate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_malate","metabolite_malate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_mannitol","metabolite_mannitol",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_pantothenic_acid","metabolite_pantothenic_acid",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_propanoyl_phosphate","metabolite_propanoyl_phosphate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_pyroglutamate","metabolite_pyroglutamate",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_serine","metabolite_serine",3,NA,-1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_succinyl_homoserine","metabolite_succinyl_homoserine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_taurine","metabolite_taurine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_ump","metabolite_ump",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_uridine","metabolite_uridine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_xanthine","metabolite_xanthine",3,NA,1,0,"across_roi",0,"spearman",FALSE,FALSE
"metabolite_creatine","metabolite_creatine",3,NA,0.866025403784439,0.333333333333333,"across_roi",0.463414634146341,"spearman",FALSE,FALSE
"metabolite_imp","metabolite_imp",3,NA,0.866025403784439,0.333333333333333,"across_roi",0.463414634146341,"spearman",FALSE,FALSE
"metabolite_acetylproline","metabolite_acetylproline",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_acetylvaline","metabolite_acetylvaline",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_ascorbic_acid","metabolite_ascorbic_acid",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_asparagine","metabolite_asparagine",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_glycerylphosphorylethanolamine","metabolite_glycerylphosphorylethanolamine",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_glycholic_acid","metabolite_glycholic_acid",3,NA,-0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_hippuric_acid","metabolite_hippuric_acid",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_hydroxymethylglutaric_acid","metabolite_hydroxymethylglutaric_acid",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_hypoxanthine","metabolite_hypoxanthine",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_inosine","metabolite_inosine",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_kynurenate","metabolite_kynurenate",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_malonate","metabolite_malonate",3,NA,-0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_methylhippuric_acid","metabolite_methylhippuric_acid",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_oxalate","metabolite_oxalate",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_sucrose","metabolite_sucrose",3,NA,0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
"metabolite_urocanate","metabolite_urocanate",3,NA,-0.5,0.666666666666667,"across_roi",0.666666666666667,"spearman",FALSE,FALSE
