"column_name","mz","sum_formula","adduct","neutral_loss","chem_mod","detection_fraction_in_fixture","variance_after_tic_log10"
"mz_217.048473",217.048472972849,"C6H14O6","+Cl",NA,NA,0.6524,0.000201203392083109
"mz_145.014265",145.014265142789,"C5H6O5","-H",NA,NA,0.6,1.11197774939312e-06
"mz_181.071787",181.071787253476,"C6H14O6","-H",NA,NA,0.6556,9.06875072107851e-07
"mz_101.024428",101.024428242392,"C4H6O3","-H",NA,NA,0.7404,7.25804840868506e-07
"mz_217.050666",217.050665863357,"C12H10O4","-H",NA,NA,0.6708,5.62108507786028e-07
"mz_188.056473",188.056473039269,"C7H11NO5","-H",NA,NA,0.8,4.56170120951081e-07
"mz_165.040484",165.040483810212,"C5H10O6","-H",NA,NA,0.8916,3.6314352592024e-07
"mz_188.092859",188.092858555115,"C8H15NO4","-H",NA,NA,0.7908,3.58773189167317e-07
"mz_346.055875",346.055875347764,"C10H14N5O7P","-H",NA,NA,0.904,3.56907839009687e-07
"mz_172.097941",172.097940560748,"C8H15NO3","-H",NA,NA,0.6248,3.27235507134259e-07
"mz_134.047235",134.04723502426,"C5H5N5","-H",NA,NA,0.8992,2.42097793469528e-07
"mz_158.082288",158.082287665774,"C7H13NO3","-H",NA,NA,0.6236,2.42051137803254e-07
"mz_144.066635",144.066634893676,"C6H11NO3","-H",NA,NA,0.586,2.33726048902013e-07
"mz_139.051318",139.051318249561,"C6H8N2O2","-H",NA,NA,0.9264,2.24554446101167e-07
"mz_243.062299",243.06229938921,"C9H12N2O6","-H",NA,NA,0.904,2.09335579534395e-07
"mz_85.029511",85.029511197753,"C4H6O2","-H",NA,NA,0.6996,1.91380918715688e-07
"mz_255.232997",255.232996549354,"C16H32O2","-H",NA,NA,0.1296,1.72738713000592e-07
"mz_160.061553",160.061552614234,"C6H11NO4","-H",NA,NA,0.7028,1.23164316886169e-07
"mz_174.077206",174.077205526132,"C7H13NO4","-H",NA,NA,0.6296,1.19409142612654e-07
"mz_157.014267",157.014267461018,"C6H6O5","-H",NA,NA,0.6444,1.18169655055352e-07
"mz_161.045568",161.045568388257,"C6H10O5","-H",NA,NA,0.6572,1.01047086380371e-07
"mz_149.045566",149.045566039282,"C5H10O5","-H",NA,NA,0.646,9.11517282641864e-08
"mz_141.019350",141.019349771699,"C6H6O4","-H",NA,NA,0.7744,7.9431270854291e-08
"mz_215.026949",215.026949213718,"C13H9ClO","-H",NA,NA,0.5368,7.79513914506063e-08
